,Species,Data set,Poisson,negative binomial,zero inflated.Poisson
1,AMKE,WRS,0.20,0.20,0.44
2,AMKE,CBC,0.06,0.05,0.46
3,BAEA,WRS,0.32,0.30,0.50
4,BAEA,CBC,0.00,0.00,0.56
5,COHA,WRS,0.43,0.41,0.82
6,COHA,CBC,0.67,0.68,0.86
7,FEHA,WRS,0.31,0.42,0.61
8,FEHA,CBC,0.38,0.43,0.56
9,GOEA,WRS,0.41,0.39,0.60
10,GOEA,CBC,0.67,0.66,0.81
11,NOHA,WRS,0.33,0.36,0.59
12,NOHA,CBC,0.00,0.00,0.01
13,PRFA,WRS,0.52,0.50,0.84
14,PRFA,CBC,0.76,0.79,0.81
15,RLHA,WRS,0.40,0.48,0.58
16,RLHA,CBC,0.52,0.49,0.76
17,RSHA,WRS,0.47,0.52,0.74
18,RSHA,CBC,0.16,0.16,0.34
19,RTHA,WRS,0.14,0.10,0.33
20,RTHA,CBC,0.00,0.00,0.16
21,WTKI,WRS,0.48,0.54,0.65
22,WTKI,CBC,0.33,0.41,0.50
